16,53449
16,49546
16,50778
16,49088
16,49606
16,48404
16,36966
16,50261
16,49443
16,49146
32,76941
32,77423
32,72472
32,93207
32,73795
32,96422
32,77776
32,74987
32,75852
32,61606
64,107395
64,100889
64,146078
64,103055
64,98000
64,100407
64,141369
64,120942
64,128101
64,140338
128,174690
128,180539
128,168988
128,203701
128,175572
128,180770
128,225308
128,207102
128,178714
128,189325
256,320810
256,329267
256,369344
256,329208
256,333548
256,328076
256,336054
256,339364
256,333856
256,335302
512,666202
512,664979
512,666038
512,664356
512,676034
512,678887
512,664507
512,670863
512,661303
512,673763
1024,1415533
1024,2254597
1024,2414492
1024,2254507
1024,2382328
1024,2339363
1024,2211806
1024,2221835
1024,2288257
1024,2297605
2048,3060076
2048,3025204
2048,3056080
2048,2997326
2048,3049556
2048,3042488
2048,3044499
2048,3061598
2048,3479074
2048,3057831
4096,6424724
4096,6556391
4096,6456592
4096,6477876
4096,6432383
4096,6508877
4096,6530814
4096,6547353
4096,6446964
4096,6568691
8192,11463819
8192,11400040
8192,11418516
8192,11609163
8192,11484839
8192,11435364
8192,11548225
8192,11480083
8192,11458115
8192,11670608
16384,24897203
16384,25191063
16384,25303569
16384,25145270
16384,25642412
16384,25294143
16384,24970326
16384,25609825
16384,25489246
16384,25145166
32768,53384645
32768,53407169
32768,54303141
32768,54976158
32768,53654684
32768,53393480
32768,54673334
32768,54466960
32768,53845214
32768,53441747
65536,227802570
65536,233862580
65536,230292630
65536,232364747
65536,230117348
131072,494408523
131072,495548139
131072,488773741
131072,486002298
131072,486577169
